# 601 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for controlled-source electromagnetic data.
#
#
# > Key, K., 2009;
# > 1D inversion of multicomponent, multifrequency marine CSEM data:
# > Methodology and synthetic studies for resolving thin resistive layers;
# > Geophysics, 74(2), F9-F20;
# > DOI: 10.1190/1.3058434
#
#
# Copyright 2009 Kerry Key
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                    sin                     cos
1.600538879095432e-04   1.887670083642166e-04   1.541381200366568e-05
1.760046751370900e-04  -2.005820496174674e-04   1.660072384193364e-05
1.935450995580938e-04   2.131489579144857e-04   1.841997147882438e-05
2.128335825953212e-04  -2.264877366442824e-04   2.026912073003105e-05
2.340443337691579e-04   2.406793062382246e-04   2.210551672304511e-05
2.573689241213434e-04  -2.557376041179267e-04   2.465220942221532e-05
2.830180164443136e-04   2.717646455644554e-04   2.661736864799657e-05
3.112232679432146e-04  -2.887634254819832e-04   2.989536173822840e-05
3.422394225150394e-04   3.068646043678929e-04   3.213232110580544e-05
3.763466115419071e-04  -3.260528651282183e-04   3.617482594482103e-05
4.138528839787616e-04   3.464983356283099e-04   3.886373268637686e-05
4.550969885867208e-04  -3.681563775328206e-04   4.370446462896611e-05
5.004514334406108e-04   3.912521416052410e-04   4.706844302890467e-05
5.503258503435191e-04  -4.156952553697350e-04   5.274434571999963e-05
6.051706945350531e-04   4.417882828039744e-04   5.705562366374805e-05
6.654813131082850e-04  -4.693707283323586e-04   6.360999354022556e-05
7.318024188804728e-04   4.988549013178462e-04   6.919856766912473e-05
8.047330101246132e-04  -5.299740981465572e-04   7.668328514728211e-05
8.849317805958146e-04   5.632972168037640e-04   8.394822291556238e-05
9.731230687146970e-04  -5.983981201542243e-04   9.242681616786029e-05
1.070103399639604e-03   6.360703008313139e-04   1.018487845955144e-04
1.176748679314238e-03  -6.756498273302946e-04   1.114011335437031e-04
1.294022105465848e-03   7.182536629624953e-04   1.235573455065937e-04
1.422982867004445e-03  -7.628648911440259e-04   1.342848581478068e-04
1.564795710394167e-03   8.110678884696581e-04   1.498676619262224e-04
1.720741459398286e-03  -8.613236288904599e-04   1.618997849276840e-04
1.892228583209938e-03   9.158936600338050e-04   1.817379012620396e-04
2.080805917449529e-03  -9.724687649776548e-04   1.952416992037834e-04
2.288176652922169e-03   1.034293567545343e-03   2.203245877889620e-04
2.516213718478670e-03  -1.097925026760626e-03   2.355167181844915e-04
2.766976696914850e-03   1.168037243661937e-03   2.670244391354883e-04
3.042730426689990e-03  -1.239520643257603e-03   2.841848882706381e-04
3.345965457471272e-03   1.319130531388254e-03   3.235251219161621e-04
3.679420544254346e-03  -1.399310723206821e-03   3.430123532795142e-04
4.046107383222199e-03   1.489849562571212e-03   3.918676897535589e-04
4.449337812751394e-03  -1.579602309347674e-03   4.141333163467392e-04
4.892753725239476e-03   1.682780854751798e-03   4.745222262994887e-04
5.380359959910820e-03  -1.782980640112731e-03   5.001264810538308e-04
5.916560473681857e-03   1.900868915922405e-03   5.744760452366283e-04
6.506198116773342e-03  -2.012335870346910e-03   6.041111932887833e-04
7.154598372314579e-03   2.147473503496334e-03   6.953377041337534e-04
7.867617454986535e-03  -2.270889066841259e-03   7.298635797228439e-04
8.651695203120634e-03   2.426439457570971e-03   8.414652456887652e-04
9.513913241963630e-03  -2.562215420051550e-03   8.819528243262603e-04
1.046205894342679e-02   2.742183034952833e-03   1.018124731652973e-03
1.150469575999052e-02  -2.890261392840365e-03   1.065902978573756e-03
1.265124056800531e-02   3.099800300288151e-03   1.231683155383351e-03
1.391204871893762e-02  -3.259350857226141e-03   1.288386810459016e-03
1.529850756672552e-02   3.505205495093838e-03   1.489841519407945e-03
1.682313931596340e-02  -3.674172710258315e-03   1.557459803490981e-03
1.849971411981924e-02   3.965310626574665e-03   1.801912555421511e-03
2.034337444916063e-02  -4.139738650325030e-03   1.882845449381654e-03
2.237077185616560e-02   4.488262359241358e-03   2.179149281364812e-03
2.460021736763830e-02  -4.661294242426114e-03   2.276280583427097e-03
2.705184686635041e-02   5.083759325365117e-03   2.635135332482890e-03
2.974780295409754e-02  -5.244158243862472e-03   2.751927858029521e-03
3.271243493901982e-02   5.763483157849691e-03   3.186249126577850e-03
3.597251875342965e-02  -5.893453245986144e-03   3.326862059512359e-03
3.955749878839872e-02   6.541691318046123e-03   3.852213758365377e-03
4.349975382930274e-02  -6.613673304094213e-03   4.021635411191684e-03
4.783488949419837e-02   7.436041154998661e-03   4.656739764341880e-03
5.260205981627383e-02  -7.408009065250789e-03   4.860925667233624e-03
5.784432087483846e-02   8.468745595771147e-03   5.628257587483373e-03
6.360901966877180e-02  -8.277314667970900e-03   5.874261077316650e-03
6.994822174465536e-02   9.668205167903463e-03   6.800723111882190e-03
7.691918144183450e-02  -9.218548318547704e-03   7.096792112063695e-03
8.458485900156469e-02   1.107132357506540e-02   8.214452072188272e-03
9.301448921066349e-02  -1.022244393130105e-02   8.570038585776058e-03
1.022842067155374e-01   1.272680215529608e-02   9.916881689099844e-03
1.124777336542896e-01  -1.127006800802479e-02   1.034246793647235e-02
1.236871358174548e-01   1.469983053996089e-02   1.196305329516215e-02
1.360136541668492e-01  -1.232777617668802e-02   1.246962114896129e-02
1.495686192226351e-01   1.707875299894973e-02   1.441543192101280e-02
1.644744565771549e-01  -1.333990201591076e-02   1.501324787950850e-02
1.808657926171221e-01   1.998449243486315e-02   1.734235517342590e-02
1.988906704408197e-01  -1.421829371168560e-02   1.803848217679936e-02
2.187118869522148e-01   2.358373819470286e-02   2.081381761344761e-02
2.405084632083421e-01  -1.482760116032370e-02   2.160734309026994e-02
2.644772612998240e-01   2.810708047451080e-02   2.489229977447262e-02
2.908347623678516e-01  -1.496512380422282e-02   2.576553958006069e-02
3.198190218163038e-01   3.387321442302536e-02   2.961467509491694e-02
3.516918193780669e-01  -1.433435153470303e-02   3.051737110266814e-02
3.867410234545012e-01   4.131959123492098e-02   3.495844122438238e-02
4.252831910822741e-01  -1.251274602579928e-02   3.577998856776111e-02
4.676664270099092e-01   5.103745787350833e-02   4.078109826730666e-02
5.142735277066319e-01  -8.918289519700926e-03   4.130285745015720e-02
5.655254386995371e-01   6.380297769558445e-02   4.671501590165387e-02
6.218850564650201e-01  -2.788897684625384e-03   4.653076183321674e-02
6.838614092123558e-01   8.058181530268101e-02   5.199196486468964e-02
7.520142543193826e-01   6.790206156882212e-03   5.038064846254973e-02
8.269591339433623e-01   1.024543404644486e-01   5.516515485988877e-02
9.093729344682314e-01   2.073338204806540e-02   5.090096052934653e-02
1.000000000000000e+00   1.303497117692710e-01   5.370474646971766e-02
1.099658855126103e+00   3.951881975960873e-02   4.480843697750900e-02
1.209249597657251e+00   1.643745620689843e-01   4.350085483263331e-02
1.329762028121474e+00   6.218686679938456e-02   2.700779636681336e-02
1.462284589434224e+00   2.023784581667486e-01   1.850147060480727e-02
1.608014197485783e+00   8.434899410606132e-02  -9.481059185247232e-03
1.768267051433735e+00   2.373088575358529e-01  -2.878647686708867e-02
1.944490521336831e+00   9.483819839368990e-02  -7.201691801599090e-02
2.138276220496818e+00   2.532746060255461e-01  -1.041550388144556e-01
2.351374380574902e+00   7.159002104274344e-02  -1.627192708568376e-01
2.585709659315846e+00   2.222192506778304e-01  -2.025832442736199e-01
2.843398523651769e+00  -1.905573270964483e-02  -2.648757436759084e-01
3.126768365186156e+00   1.090141501356163e-01  -2.896768123096005e-01
3.438378520705125e+00  -2.067328188554215e-01  -3.204249235290653e-01
3.781043387568781e+00  -9.612246602135047e-02  -2.793713989892394e-01
4.157857842756007e+00  -4.615266320685089e-01  -2.177215915565538e-01
4.572225195142160e+00  -2.963866235183736e-01  -4.997516720753165e-02
5.027887923468749e+00  -5.963313340250359e-01   1.364346619405615e-01
5.528961477624004e+00  -2.082472282663639e-01   3.957582182746007e-01
6.079971448520338e+00  -2.777908167617539e-01   5.514593774068006e-01
6.685894442279269e+00   4.207178203208411e-01   6.000355888483448e-01
7.352203027890797e+00   4.291396414267995e-01   3.186791318366248e-01
8.084915164305059e+00   9.433230333912225e-01  -1.567831386495452e-01
8.890648553371371e+00   2.207290574116785e-01  -7.479109158787856e-01
9.776680409528907e+00  -9.583338573591282e-02  -8.488046630983653e-01
1.075101318607635e+01  -1.232100887731011e+00  -2.726822402365101e-01
1.182244685164636e+01  -5.002745008433491e-01   8.543192655839413e-01
1.300065836967064e+01   2.372029128753443e-01   1.089835857141487e+00
1.429628909867760e+01   1.649761387946455e+00  -1.818874039618337e-01
1.572104090280360e+01  -3.603783487843671e-01  -1.529241369785723e+00
1.728778184056764e+01  -1.261037499322814e+00   5.251114541647035e-02
1.901066238646844e+01  -1.442344716329911e-01   1.745104311752220e+00
2.090524323509275e+01   2.262432282201865e+00  -8.932643503069300e-01
2.298863584203481e+01  -2.440529947584088e+00  -1.200119921665596e+00
2.527965697096289e+01   1.102479711406938e+00   2.345925576744023e+00
2.779899864266967e+01   2.479466131565981e-01  -2.204932102497117e+00
3.056941502105021e+01  -9.331576113883502e-01   1.508712175144785e+00
3.361592792392278e+01   1.067534473089257e+00  -8.545543410651292e-01
3.696605281482250e+01  -9.516666382066644e-01   4.278678767318642e-01
4.065004731687878e+01   7.803309151688617e-01  -1.951651104274962e-01
4.470118449330081e+01  -6.296102325905817e-01   7.977247475727975e-02
4.915605336268389e+01   5.147217959418201e-01  -2.520612838163129e-02
5.405488936332660e+01  -4.305875729144710e-01   2.784167518927987e-05
5.944193775124387e+01   3.687952586818823e-01   1.128037363187448e-02
6.536585321400990e+01  -3.224307395760154e-01  -1.602490295449761e-02
7.188013930965907e+01   2.866508648266869e-01   1.762362316839732e-02
7.904363169956446e+01  -2.582226362549916e-01  -1.770082893251570e-02
8.692102953975237e+01   2.350036653885580e-01   1.704836442363811e-02
9.558347983006632e+01  -2.155613376127551e-01  -1.606262768958838e-02
1.051092199988997e+02   1.989230622019242e-01   1.494636952733606e-02
1.155842845271877e+02  -1.844173872024837e-01  -1.380448976967370e-02
1.271032819937369e+02   1.715729150417765e-01   1.269100072803114e-02
1.397702495600030e+02  -1.600532114574932e-01  -1.163280779532750e-02
1.536995926118425e+02   1.496142179147893e-01   1.064212005520605e-02
1.690171180448872e+02  -1.400759347576565e-01  -9.723104079214704e-03
1.858611705259540e+02   1.313033137405831e-01   8.875535347924807e-03
2.043838819929681e+02  -1.231931979853633e-01  -8.096840465660830e-03
2.247525456786157e+02   1.156652963349872e-01   7.383254655423208e-03
2.471511270676237e+02  -1.086558863590842e-01  -6.730481942741819e-03
2.717819254343092e+02   1.021133845398998e-01   6.134071407476349e-03
2.988674009670603e+02  -9.599520679521963e-02  -5.589629959028378e-03
3.286521839819514e+02   9.026552811021052e-02   5.092940278405305e-03
3.614052843722859e+02  -8.489367300426851e-02  -4.640022871665849e-03
3.974225212493519e+02   7.985295115753441e-02   4.227164339810403e-03
4.370291947183915e+02  -7.511980873410520e-02  -3.850924696369492e-03
4.805830239207090e+02   7.067320463855671e-02   3.508131500450960e-03
5.284773778776877e+02  -6.649414780698869e-02  -3.195865960368183e-03
5.811448283170228e+02   6.256535036073049e-02   2.911445078555397e-03
6.390610565695528e+02  -5.887096455317380e-02  -2.652403279346110e-03
