# 201 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for controlled-source electromagnetic data.
#
# See the notebook `Filter-wer201-SineCosine.ipynb` in the repo
# https://github.com/emsig/article-fdesign
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2018 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       sin                        cos
1.175241880179767745e-01  -2.073939465395089558e-03   1.749834999287062098e-01
1.252081435906398366e-01   5.917697096003505901e-03  -6.925875872550875390e-02
1.333944908346550995e-01  -8.457620364798634771e-03  -1.774782242250545414e-02
1.421160770757335934e-01   1.805948857773173946e-02   1.447295829928919864e-01
1.514078972603926099e-01  -2.474449553347397163e-02  -2.354229938347021656e-01
1.613072343715006018e-01   3.889620471795838391e-02   3.558213480453637501e-01
1.718538090244577654e-01  -4.742212930693588679e-02  -4.198731636719089111e-01
1.830899388442601972e-01   6.360097932975997126e-02   5.038560974090173783e-01
1.950607082629411126e-01  -7.067169352997133835e-02  -5.138645293141971271e-01
2.078141494186916682e-01   8.596458920055502495e-02   5.413795392306793852e-01
2.214014348825124601e-01  -8.830541760892368641e-02  -4.869138872753115965e-01
2.358770829857000095e-01   1.004782179839346784e-01   4.608193478604615256e-01
2.512991765720368198e-01  -9.582620507889411110e-02  -3.573411298993828811e-01
2.677295960524163632e-01   1.042253091548364236e-01   3.058673155902026930e-01
2.852342676970238688e-01  -9.196816245292806224e-02  -1.901048872033559989e-01
3.038834281613341792e-01   9.786664813300215149e-02   1.558929089769490739e-01
3.237519063073229231e-01  -7.889704106939134098e-02  -7.020445040876448217e-02
3.449194234506868795e-01   8.491901342500277061e-02   9.184838567402123233e-02
3.674709132387996013e-01  -6.057762514573530183e-02  -6.483189596786528841e-02
3.914968624428984412e-01   6.947565393153661006e-02   1.582282856215165845e-01
4.170936740319142744e-01  -4.029381945650151869e-02  -1.887859883091913549e-01
4.443640539847611981e-01   5.407851273109869766e-02   3.360422769235531515e-01
4.734174233931512377e-01  -1.930082972903685024e-02  -3.898098234795633332e-01
5.043703575084770296e-01   3.934828043120923435e-02   5.452605412173583410e-01
5.373470534944175814e-01   2.693640480501349396e-03  -5.714242294432092528e-01
5.724798287621007953e-01   2.498497582131369021e-02   6.877242466762363282e-01
6.099096518873700079e-01   2.641451574212207165e-02  -6.506701137693878811e-01
6.497867082404341632e-01   1.069400146629468328e-02   7.091130586640568279e-01
6.922710025974625481e-01   5.239244048361654110e-02  -6.104081358884849706e-01
7.375330011520765394e-01  -3.458227925075999659e-03   6.278820885017131204e-01
7.857543155027747472e-01   8.072159048619551025e-02  -4.965621489248507880e-01
8.371284313607638694e-01  -1.687152540058384220e-02   5.012399374764615612e-01
8.918614849020937152e-01   1.108709278811071813e-01  -3.632915077406729254e-01
9.501730898791795887e-01  -2.839460136201990559e-02   3.663170204844508615e-01
1.012297218810449539e+00   1.417823844712950698e-01  -2.279278129293924871e-01
1.078483141783855626e+00  -3.678268720844395101e-02   2.207070158587589592e-01
1.148996426641145208e+00   1.723434566015649982e-01  -7.991139568514277203e-02
1.224120004556090713e+00  -4.136743948579538893e-02   5.281082785888737557e-02
1.304155305282256094e+00   2.015930806009429699e-01   8.014109082419015873e-02
1.389423466625424375e+00  -4.222432182078936919e-02  -1.242957944493697647e-01
1.480266622993645864e+00   2.281228806324831215e-01   2.218326971294575789e-01
1.577049278195137960e+00  -3.981276356317767218e-02  -2.731637762197803854e-01
1.680159767992338349e+00   2.491558680928359637e-01   3.017213688411043981e-01
1.790011818280524469e+00  -3.496814700776677831e-02  -3.576209939274394567e-01
1.907046205143129836e+00   2.602532515173308636e-01   2.906601141762110152e-01
2.031732523444635508e+00  -2.987091910724431684e-02  -3.641300995094586268e-01
2.164571071057449281e+00   2.558726370812025031e-01   1.880449915660719340e-01
2.306094856283117611e+00  -2.938678514172559861e-02  -3.060743977839771035e-01
2.456871736522578953e+00   2.300459202413440707e-01   2.152540349678754017e-02
2.617506696776746189e+00  -4.126929209471399268e-02  -2.158000936604140829e-01
2.788644277119816994e+00   1.767261801988514180e-01  -1.612587750349130933e-01
2.970971158885400865e+00  -7.422721323032836771e-02  -1.292453485840002192e-01
3.165218919942441644e+00   9.119339429287193211e-02  -3.059325720030597329e-01
3.372166970116335705e+00  -1.339937388071893998e-01  -6.711990205851831037e-02
3.592645678533469056e+00  -2.491423090848463723e-02  -3.656545408199086689e-01
3.827539705437518869e+00  -2.171490769319003311e-01  -2.127600308257220421e-02
4.077791551846250862e+00  -1.543110637898739423e-01  -3.123070160065158363e-01
4.344405341291659894e+00  -3.016747752296284335e-01   4.396032717243000820e-02
4.628450848817474039e+00  -2.542534890248850932e-01  -1.463750312421811528e-01
4.931067793400218058e+00  -3.374749720204660575e-01   1.681376255119866603e-01
5.253470411016953889e+00  -2.559324215943050707e-01   8.828124399461252658e-02
5.596952326708894532e+00  -2.522003999598131929e-01   3.477342455871989535e-01
5.962891745189846660e+00  -9.165487516988805872e-02   2.844975730918057333e-01
6.352756980826526956e+00   2.451393700228310184e-04   4.865949437213895612e-01
6.768112349179547849e+00   2.283221119647683151e-01   2.726472852992843920e-01
7.210624443744567458e+00   3.362578192882395567e-01   4.098621236310932558e-01
7.682068823078777697e+00   5.084884452971621949e-01  -8.698123731244092327e-02
8.184337135144440722e+00   4.621192616960526078e-01   3.795164113179277932e-02
8.719444707455659582e+00   3.840452228983644023e-01  -6.607717797989005604e-01
9.289538633483322982e+00   5.686841924344163135e-02  -3.127967019525924597e-01
9.896906387764721202e+00  -2.677832927682805564e-01  -8.520238624631626401e-01
1.054398500428541041e+01  -6.112250685837133934e-01   1.866986149615887380e-02
1.123337085496120658e+01  -6.897421427754512058e-01  -1.510117987355547031e-01
1.196783006745597611e+01  -4.181849148408994798e-01   9.453579502854001504e-01
1.275030962413621793e+01   1.263384453832862020e-01   4.823774285008964324e-01
1.358394918669652718e+01   7.677969933286705739e-01   7.470732220090259279e-01
1.447209369390148836e+01   8.133586540368122897e-01  -5.697867450897069475e-01
1.541830678299210966e+01   3.497498419022973537e-01  -7.055953805946019175e-01
1.642638508860932944e+01  -7.763162464677908492e-01  -9.614495811348541254e-01
1.750037347660841291e+01  -9.667265002837666099e-01   3.546001277940243890e-01
1.864458127388926911e+01  -3.800926825624162397e-01   1.128215982487632552e+00
1.986359955936389454e+01   1.235254866372536675e+00   5.949019281401355386e-01
2.116231958544036473e+01   7.911020096402959778e-01  -7.267293916091510653e-01
2.254595240393853572e+01  -5.236339553176779793e-01  -1.507249014863311309e+00
2.402004977518555862e+01  -1.626473499234723841e+00   1.078312815116058143e+00
2.559052644418794387e+01   1.013456976989565606e+00   9.486321381587267121e-01
2.726368387326219889e+01   1.129131811960130571e+00  -3.354943204431601878e-01
2.904623552635027650e+01  -9.113589815793819993e-01  -1.943268376414179377e+00
3.094533380647150977e+01  -1.300619550028623728e+00   2.371887207933348396e+00
3.296859875439682241e+01   2.543719629579790809e+00  -5.365093968898267951e-01
3.512414862369684698e+01  -1.701696623427475519e+00  -1.408930571528905995e+00
3.742063245484502687e+01  -7.767421774405788848e-02   1.974611061054525551e+00
3.986726477907773614e+01   1.419240060216593102e+00  -1.334935271718218575e+00
4.247386259125889296e+01  -1.868403312192997712e+00   3.462502088665911915e-01
4.525088474010121331e+01   1.675871745471562813e+00   3.922664153374728624e-01
4.820947389379483639e+01  -1.238812781278159303e+00  -7.306469527310379686e-01
5.136150124942922446e+01   8.131829006721006392e-01   7.676849786945085796e-01
5.471961416560207425e+01  -4.933343800117624411e-01  -6.501352674865001902e-01
5.829728690933919921e+01   2.829501175469676943e-01   4.852976726952183961e-01
6.210887472094472628e+01  -1.551452064443097079e-01  -3.304124178976936554e-01
6.616967141371431183e+01   8.153481283081238928e-02   2.078769055147446365e-01
7.049597073962775085e+01  -4.091106263318622371e-02  -1.211409593086008735e-01
7.510513176724701623e+01   1.942987976817154433e-02   6.513372979887556424e-02
8.001564853414659240e+01  -8.626921240099632085e-03  -3.204278230870652444e-02
8.524722425335225751e+01   3.525087604922773864e-03   1.424888656339123004e-02
9.082085037153834151e+01  -1.300074901717935367e-03  -5.634696534129035941e-03
9.675889079620085909e+01   4.223264749396243530e-04   1.938971067103040626e-03
1.030851716297636500e+02  -1.170415122752015808e-04  -5.636545271528129591e-04
1.098250767706721120e+02   2.646737181673200110e-05   1.326450413060714661e-04
1.170056497650677585e+02  -4.562067330846690518e-06  -2.364110105322926388e-05
1.246557023177204542e+02   5.308801493992684194e-07   2.829786809279892192e-06
1.328059298976120601e+02  -3.117110124630330173e-08  -1.701605296676176540e-07
