# 140 point Hankel filter, J1
# ===========================
#
#
# > Guptasarma, D. and B. Singh, 1997;
# > New digital linear filters for Hankel J0 and J1 transforms;
# > Geophysical Prospecting, 45(5), 745-762;
# > DOI: 10.1046/j.1365-2478.1997.500292.x
#
#
# Copyright 1997 D. Guptasarma and B. Singh
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                j1
9.13135325313e-05   8.44458166896e-10
1.11815571553e-04   1.26621795331e-09
1.36920801279e-04   1.89866561359e-09
1.67662746453e-04   2.84693620927e-09
2.05306982471e-04   4.26886170263e-09
2.51403236218e-04   6.40104325574e-09
3.07849184768e-04   9.59798498616e-09
3.76968578400e-04   1.43918931885e-08
4.61606904069e-04   2.15798696769e-08
5.65248527579e-04   3.23584600810e-08
6.92160136934e-04   4.85195105813e-08
8.47566392102e-04   7.27538583183e-08
1.03786501228e-03   1.09090191748e-07
1.27089015534e-03   1.63577866557e-07
1.55623493212e-03   2.45275193920e-07
1.90564633283e-03   3.67784458730e-07
2.33350882369e-03   5.51470341585e-07
2.85743652241e-03   8.26916206192e-07
3.49899833105e-03   1.23991037294e-06
4.28460587828e-03   1.85921554669e-06
5.24660082553e-03   2.78777669034e-06
6.42458629904e-03   4.18019870272e-06
7.86705725981e-03   6.26794044911e-06
9.63339692993e-03   9.39858833064e-06
1.17963214636e-02   1.40925408889e-05
1.44448735047e-02   2.11312291505e-05
1.76880878679e-02   3.16846342900e-05
2.16594802523e-02   4.75093313246e-05
2.65225437766e-02   7.12354794719e-05
3.24774796157e-02   1.06810848460e-04
3.97694388243e-02   1.60146590551e-04
4.86986146436e-02   2.40110903628e-04
5.96326007687e-02   3.59981158972e-04
7.30215243383e-02   5.39658308918e-04
8.94165766369e-02   8.08925141201e-04
1.09492704376e-01   1.21234066243e-03
1.34076395703e-01   1.81650387595e-03
1.64179704823e-01   2.72068483151e-03
2.01041915950e-01   4.07274689463e-03
2.46180561795e-01   6.09135552241e-03
3.01453896912e-01   9.09940027636e-03
3.69137397774e-01   1.35660714813e-02
4.52017438923e-01   2.01692550906e-02
5.53506001619e-01   2.98534800308e-02
6.77781137291e-01   4.39060697220e-02
8.29958968330e-01   6.39211368217e-02
1.01630430711e+00   9.16763946228e-02
1.24448856398e+00   1.28368795114e-01
1.52390556159e+00   1.73241920046e-01
1.86605825707e+00   2.19830379079e-01
2.28503229239e+00   2.51193131178e-01
2.79807586792e+00   2.32380049895e-01
3.42630981135e+00   1.17121080205e-01
4.19559707367e+00  -1.17252913088e-01
5.13760744759e+00  -3.52148528535e-01
6.29112134033e+00  -2.71162871370e-01
7.70362627399e+00   2.91134747110e-01
9.43327183803e+00   3.17192840623e-01
1.15512635745e+01  -4.93075681595e-01
1.41447943469e+01   3.11223091821e-01
1.73206338705e+01  -1.36044122543e-01
2.12095241768e+01   5.12141261934e-02
2.59715619631e+01  -1.90806300761e-02
3.18027894062e+01   7.57044398633e-03
3.89432647699e+01  -3.25432753751e-03
4.76869450527e+01   1.49774676371e-03
5.83937875239e+01  -7.24569558272e-04
7.15045683388e+01   3.62792644965e-04
8.75590282823e+01  -1.85907973641e-04
1.07218092660e+02   9.67201396593e-05
1.31291080076e+02  -5.07744171678e-05
1.60769020227e+02   2.67510121456e-05
1.96865452320e+02  -1.40667136728e-05
2.41066383701e+02   7.33363699547e-06
2.95191465367e+02  -3.75638767050e-06
3.61468902830e+02   1.86344211280e-06
4.42627186225e+02  -8.71623576811e-07
5.42007415996e+02   3.61028200288e-07
6.63700848337e+02  -1.05847108097e-07
8.12717322831e+02  -1.51569361490e-08
9.95191506061e+02   6.67633241420e-08
1.21863544176e+03  -8.33741579804e-08
1.49224780444e+03   8.31065906136e-08
1.82729258771e+03  -7.53457009758e-08
2.23756281710e+03   6.48057680299e-08
2.73994837725e+03  -5.37558016587e-08
3.35513132978e+03   4.32436265303e-08
4.10843734631e+03  -3.37262648712e-08
5.03087830832e+03   2.53558687098e-08
6.16042899519e+03  -1.81287021528e-08
7.54359041880e+03   1.20228328586e-08
9.23730416357e+03  -7.10898040664e-09
1.13112965409e+04   3.53667004588e-09
1.38509490616e+04  -1.36030600198e-09
1.69608133970e+04   3.52544249042e-10
2.07689155311e+04  -4.53719284366e-11
